head_type,rel,tail_type
粮油调味/速食/干货/烘焙,has,配料
书籍,has,年代
大家电,has,主屏尺寸
报刊,has,开本
笔记本电脑,has,显示器
手机,has,设计师
CPU,has,L3缓存
菜品,has,葱花
图书,has,ISBN
电子电器产品,has,扫描元件
网页游戏,has,发行公司
厨房电器,has,压缩机
少儿音乐,has,作词
机械轴承,has,旧型号
美容用品,has,材料
播放机,has,内存
数码产品,has,出品公司
动画,has,发行公司
肉禽蛋类,has,食物
益智游戏,has,画面
叶菜类,has,变种
历史事件,has,相关事件
戏曲,has,歌曲语言
漫画作品,has,漫画别名
手机,has,显存容量
3C数码类,has,显存位宽
资产管理公司,has,登记机关
冒险游戏,has,固件
歌曲,has,马头琴
图书,has,电影
书籍,has,国籍
机箱,has,机箱结构
数码产品,has,制造商
汽车,has,车体结构
图书,has,小说系列
电脑配件,has,显卡芯片
导航仪,has,存储扩展
休闲益智游戏,has,时间
影视作品,has,发行公司
电器,has,声道系统
耳机,has,驱动单元
诗作,has,出版社
奇幻小说,has,ISBN
MP4播放器,has,存储容量
电子电器产品,has,材质
音乐游戏,has,支持终端
数码相机,has,感光器件
游戏,has,发售厂商
数码产品,has,标准配置
电子电器产品,has,刀头数量
洗衣机,has,内筒材质
教科书,has,装帧
科研学术机构,has,学校
台式电脑,has,CPU频率
教学人员,has,国籍
数码产品,has,局域网接口
图书,has,图书出版社
火锅菜,has,配料
电子电器产品,has,鼠标接口
主打歌曲,has,作词
喜剧,has,发行公司
图书,has,策划公司
动画片,has,动画制作
武器,has,供弹方式
电脑主板,has,芯片组描述
游戏,has,来自
歌曲,has,古筝
图书,has,生日
数码产品,has,打印能力
手机,has,手机屏幕
少女漫画,has,其他出版社
工业产品,has,轴承品牌
公办高校,has,院歌
菌菇类,has,配料
歌曲,has,中提琴
应用软件,has,日期
角色扮演游戏,has,支持终端
网络歌曲,has,歌曲原唱
动漫作品,has,联合制作机构
公司,has,发行公司
数码相机,has,屏幕
海鲜水产,has,主料
穿越小说,has,开本
小游戏,has,时间
人物,has,出版社
虚拟物品,has,卡包
扫描仪,has,网络扫描
角接触球轴承,has,轴承品牌
电脑硬件,has,SATA接口
牌类游戏,has,开发商
数码产品,has,传感器
面粉类,has,面粉
茄果瓜类,has,主要材料
手机,has,键盘
人民政府部门,has,下设科室
导航仪,has,语音导航
哺乳纲,has,亚种
数码产品,has,研发机构
教育机构,has,学生
汽车,has,生产商
电影,has,发行公司
数码相机,has,时尚超薄
耳机,has,插头
企业职位,has,国籍
图书,has,绘制
戏曲,has,时期
网页游戏,has,日期
益智游戏,has,设备
图书,has,歌曲语言
小程序,has,来自
射击游戏,has,发行公司
护肤化妆品,has,面料
雕塑家,has,国籍
古籍,has,ISBN
综合类小游戏,has,日期
电子电器产品,has,芯片厂商
电脑,has,主板芯片
数码相机,has,生产厂商
数码产品,has,可反复擦写
消除类游戏,has,来自
香蕉类,has,主要食材
菜品,has,成菜
虾类,has,亚种
电脑硬件,has,显卡核心
益智游戏,has,制作厂商
手机,has,自编铃声
电子商务公司,has,登记机关
研究生,has,国籍
数码产品,has,显示色彩
厅局级领导,has,国籍
汤,has,材料
箱包,has,产品材质
政府部门,has,组织机构
歌曲,has,演奏
图书,has,选题策划
电脑硬件,has,CPU型号
模拟养成游戏,has,开发商
乐团,has,来自
手机游戏,has,时间
电脑,has,台式机类别
手机,has,标准配置
歌曲,has,单簧管
绘本,has,出版社
电子数码配件,has,配件类型
打印机,has,绘图仪墨盒
电脑,has,CPU系列
图书馆,has,日期
休闲益智游戏,has,国内代理商
电子电器产品,has,音乐格式
出版物,has,ISBN
历史书籍,has,装帧
期刊,has,主管
电脑,has,前置接口
电脑配件,has,显存容量
电脑,has,硬盘类型
电脑,has,存储设备
诗作,has,格律
图书,has,丛编
电脑硬件,has,显存类型
网络游戏,has,开发商
智能手机,has,RAM容量
国家机关,has,员工
歌曲,has,版权公司
数码产品,has,主板芯片组
休闲益智游戏,has,背景音乐
角色,has,哥哥
电脑,has,主板板型
电脑硬件,has,内存类型
农作物,has,研究所
影音电器,has,材质
国家机关,has,事业单位
影音设备,has,处理器
打印机,has,双面打印
主板,has,显存容量
职业学校,has,在校学生
阀门,has,材料
手机,has,后置像素
政府部门,has,主任
3C数码类,has,流处理器
图书,has,装帧
植物,has,时期
书籍,has,单行本
县领导,has,民族
手机,has,生产厂家
玩乐/收藏,has,材质
菜品,has,材料
音乐作品,has,唱片公司
政治人物,has,民族族群
粮油调味/速食/干货/烘焙,has,主要食材
电子电器产品,has,网络连接
耳机,has,驱动单元/直径
佛教典籍,has,出版社
电子电器产品,has,支持CPU数量
纯音乐,has,歌曲原唱
无线路由器,has,WPS功能
贸易公司,has,登记机关
电子电器产品,has,屏幕
海鲜水产,has,配料
笔记本电脑,has,无线网卡
宋词,has,词牌
电子数码配件,has,材质
电脑配件,has,硬盘接口
机械设备,has,机型
纪录片,has,发行公司
虚拟物品,has,登场游戏
数码相机,has,光圈
数码相机,has,取景器
省领导,has,国籍
文具,has,开本
博物馆,has,现有藏品
射击游戏,has,日期
图书,has,拍摄
休闲游戏,has,背景音乐
电脑配件,has,图形芯片
数码产品,has,扩展槽
粉,has,配料
数码产品,has,IDE接口
角色扮演游戏,has,战斗
企事业单位,has,登记机关
玄幻小说,has,开本
故事书,has,ISBN
热水器,has,管长
主板,has,图形芯片
数码产品,has,广域网接口
野生动物,has,亚种
笔记本电脑,has,二级缓存
休闲游戏,has,画面
书籍,has,连载杂志
存储设备,has,产品电源
网游小说,has,ISBN
影音设备,has,传输接口
图书,has,封面插图
游戏,has,发行公司
协会,has,大学
火锅菜,has,主要食材
新闻出版工作人员,has,国籍
手机,has,摄像
模拟经营游戏,has,支持终端
戏曲,has,年代
电子电器产品,has,生产厂商
学校,has,校歌
冒险游戏,has,开发公司
电影电视制作及舞台专业人员,has,职业
乐团,has,歌曲原唱
鼠标,has,分辨率可调
图书,has,"丛书名十一五国家级规划教材"""
厨房电器,has,材质
鸟类,has,年代
电脑,has,机型
角色扮演游戏,has,出品公司
桥梁,has,年代
影音电器,has,背光源
角色,has,职业
菌菇类,has,主要食材
轻小说,has,其他出版社
休闲食品,has,主要食材
冒险游戏,has,支持终端
电子数码配件,has,主板接口
面食,has,调味品
豆腐,has,主料
医学书籍,has,ISBN
物品,has,转换器
戏曲,has,国籍
农业技术人员,has,职业
电子电器产品,has,芯片
主食,has,材料
笔记本电脑,has,电源适配器
造型师,has,国籍
格斗游戏,has,发行公司
手机游戏,has,背景音乐
工业产品,has,轴承外径
平板电脑/MID,has,存储容量
学校,has,在校学生
汽车,has,设计
演艺组合,has,经纪公司
影音电器,has,音乐格式
美发用品,has,清洗
佛教典籍,has,卷本
数码产品,has,箱体材质
苹果类,has,主要食材
电子公司,has,登记机关
物品,has,点火方式
人物,has,儿子
模拟养成游戏,has,发行公司
图书,has,供货商
学院,has,院歌
动作游戏,has,屏幕
数码产品,has,音频芯片
角接触球轴承,has,轴承外径
蛋品,has,配料
笔记本电脑,has,显卡容量
物品,has,CPU主频
小说,has,小说系列
电脑配件,has,主芯片组
音乐团体,has,来自
文玩古董,has,职业
图书,has,编著学校
角色,has,武器
消除类游戏,has,发行公司
安全软件,has,来自
游戏,has,公司
豆腐,has,所用厨具
笔记本电脑,has,标配CPU数量
运动员,has,父亲
家用电器,has,室内机噪音
电脑,has,存储容量
鼠标,has,接收器
文玩古董,has,时间
摄像机,has,液晶显示屏
摄像头,has,感光元件
菜品,has,绿豆芽
主板,has,主芯片组
面粉类,has,烘焙
电脑硬件,has,CPU种类
文学作品,has,装帧
玩乐/收藏,has,开本
石刻,has,时期
县领导,has,国籍
电子电器产品,has,取景器
面食,has,主料
3C数码类,has,面板类型
电子电器产品,has,光圈
电脑硬件,has,芯片组描述
出版物,has,装帧
影音电器,has,屏幕
绘画作品,has,文物原属
电子数码配件,has,处理器
书籍,has,出版公司
漫画作品,has,出版社
曲艺,has,经典剧目
人民政府部门,has,处长
图书,has,年代
卡券,has,卡包
电脑配件,has,机箱结构
3C数码,has,内存
跑酷游戏,has,支持终端
过关游戏,has,开发商
网络设备,has,处理器
大学,has,主要院系
过关游戏,has,出品公司
代表歌曲,has,歌曲原唱
连环画,has,出版社
数码产品,has,使用电池
游戏,has,开始游戏
言情小说,has,人物
影视歌曲,has,作词
插座,has,配件类别
足球俱乐部,has,国家
根茎类,has,厨具
敏捷游戏,has,日期
博物馆,has,主要藏品
流行歌曲,has,作词
菜品,has,胡萝卜
人物,has,女儿
歌曲,has,封面设计
锂电池,has,输入接口
数码产品,has,图像处理引擎
图书,has,国籍
报刊,has,ISBN
书籍,has,时代
农作物,has,培育
人物,has,经纪公司
动画片,has,音乐
存储设备,has,内存类型
教育培训机构,has,主要院系
机械设备,has,主机重量
数码产品,has,生产公司
人物,has,女婿
电脑配件,has,输出接口
手机,has,蓝牙接口
二级学院,has,书记
手表,has,表带
一体电脑,has,CPU型号
笔记本电脑,has,芯片组
影音电器,has,生产厂商
特色小吃,has,主料
家常菜,has,食材
杂志,has,装帧
相机镜头,has,变焦方式
美术,has,年代
电子数码配件,has,耳机配件
食物,has,工具
舞剧,has,演出单位
文玩古董,has,文物类别
漫画书,has,开本
电脑,has,主板描述
主板,has,CPU_插槽
个人电脑,has,台式机类型
海鲜水产,has,主要食材
豆腐,has,配料
赛车游戏,has,厂商
数码产品,has,PCI插槽
时间,has,出版社
汽车,has,制动系统
咨询师,has,民族
数码产品,has,主板
粉,has,主要食材
数码产品,has,卡口
物品,has,时代
书籍,has,出版商
数码产品,has,产品内存
音乐团体,has,歌曲原唱
冰箱,has,冷冻室
休闲游戏,has,固件
古风歌曲,has,歌曲语言
数码相机,has,存储介质
塔防游戏,has,发行公司
电脑硬件,has,适用CPU接口
数码产品,has,输入端子
武器,has,推出网游
射击游戏,has,厂商
书画作品,has,材质
图书,has,主任
图书,has,作画
益智游戏,has,开发公司
热水器,has,内胆材质
单机游戏,has,CPU
电脑,has,CPU品牌
书籍,has,出版策划
曲目,has,歌曲原唱
励志书籍,has,出版社
动物品种,has,食物
茄果瓜类,has,成熟期
豆腐,has,调味料
打印机,has,打印介质
笔记本电脑,has,主板描述
传记小说,has,ISBN
数码产品,has,内胆材质
路由器,has,防火墙
刊物,has,出版商
足球队,has,国家
冒险类小游戏,has,日期
密室逃脱,has,日期
数码产品,has,网线接口类型
音乐单曲,has,歌曲语言
委员会委员,has,国籍
图书,has,工具书名称
运动用品,has,材料
医学书籍,has,装帧
冒险游戏,has,开发商
公立社区学院,has,主要院系
古籍,has,年代
冒险游戏,has,出品公司
汽车,has,车顶型式
小说,has,装帧
解谜游戏,has,背景音乐
数码产品,has,厂商
3C数码类,has,内存类型
智能手机,has,摄像头
充电器,has,配件类型
月刊,has,开本
玄幻小说,has,种族
数码产品,has,主屏材质
歌曲,has,推广公司
电脑硬件,has,主板芯片
显卡,has,INTEL芯片
军人,has,职业
电器,has,CPU频率
工人,has,国籍
美国电影,has,发行公司
无线路由器,has,无线安全
石刻,has,年代
调料菜,has,材料
面粉类,has,食材
从书,has,装帧
摄像机,has,镜头
数码产品,has,压缩机
乐队,has,唱片公司
键盘,has,背光效果
解谜游戏,has,画面
文玩古董,has,画作类别
物品,has,光驱类型
显示器,has,显示色彩
存储设备,has,高速缓存
植物,has,纲拉丁名
游戏,has,硬盘
笔记本电脑,has,CPU内部缓存
学生,has,生日
手机,has,CPU主频
肉禽蛋类,has,厨具
国家领导,has,国籍
过关类小游戏,has,开发商
网卡,has,总线类型
汽车,has,生产厂家
摄像机,has,机身类型
服务器,has,主板芯片组
电脑硬件,has,CPU系列
图书,has,学术顾问
大学,has,学生
播放软件,has,存储容量
电脑硬件,has,前置接口
图书,has,手机
医院,has,医院院长
电脑机箱,has,机箱类型
公职人员,has,职业
演艺组合,has,唱片公司
水果,has,主要食材
装扮类小游戏,has,画面
鱼类,has,材料
电子电器产品,has,二级缓存
植物,has,植物学名
菜品,has,香料
电视剧,has,出品公司
动作类小游戏,has,开发商
机箱,has,适用主板
电脑配件,has,CPU插槽
玩乐/收藏,has,游戏
家用电器,has,内胆材质
数码产品,has,液晶显示屏
电脑配件,has,散热方式
美容美发用品,has,内胆材质
图书,has,单行本
电脑,has,RAM容量
插曲,has,歌曲原唱
数码产品,has,显卡插槽
戏曲,has,人物
工具设备,has,材质
主板,has,CPU插槽
冰箱,has,压缩机
3C数码,has,CPU插槽
服务器,has,扩展槽
电子电器产品,has,显卡芯片
报刊,has,装帧
食物,has,主要材料
显卡,has,CUDA核心
手机,has,配备
笔记本电脑,has,内存
牌类游戏,has,卡包
交换机,has,产品内存
智力游戏,has,开发商
日本漫画,has,ISBN
图书,has,书籍设计
图书,has,动画制作
汽车,has,标准变速器
主板,has,音频芯片
组织机构,has,登记机关
滚子轴承,has,旧型号
期刊,has,装帧
手机,has,主屏材质
少女漫画,has,出版社
菜品,has,萝卜
私立大学,has,主要院系
飞行射击游戏,has,开发商
公寓,has,开发商
物品,has,摄像头像素
番茄类,has,配料
二级学院,has,在校生
兵器,has,适用职业
过关游戏,has,日期
处理器,has,生产厂商
录像机,has,视频输入
豆腐,has,主要食材
智能手机,has,厂商
电子电器产品,has,显像管类型
家用五金,has,配件类型
硬盘,has,存储介质
数码产品,has,卡拉OK功能
汤,has,配料
U盘,has,材质
社会事件,has,事件
图书,has,装桢
叶菜类,has,亚种
休闲益智游戏,has,开发公司
生活软件,has,来自
数码产品,has,网卡芯片
历史书籍,has,人物
图书,has,声音演绎
贝壳类,has,年代
菜品,has,雪梨
数码产品,has,北桥芯片
数码相机,has,镜头卡口
电子电器产品,has,CPU架构
笔记本电脑,has,笔记本主频
图书,has,库存
数码产品,has,显卡属性
个人电脑,has,CPU频率
汽车,has,变速器型式
文玩古董,has,衣长
司法人员,has,国籍
儿童书籍,has,开本
面食,has,鸡蛋
打印机,has,扫描元件
网页游戏,has,运营公司
电脑,has,光驱描述
图书,has,图书装订
乐器,has,管长
电脑配件,has,显示芯片
图书,has,人物
桥梁,has,时代
益智游戏,has,开发商
硬盘,has,硬盘配件
打印机,has,网络功能
运动员,has,大学
政府部门,has,书记
装修公司,has,登记机关
汤,has,调味料
乐团,has,唱片公司
智能手机,has,CPU频率
过关类小游戏,has,发行公司
耳机,has,输出接口
影音设备,has,FM收音功能
菜品,has,配料
摇滚乐队,has,来自
电脑配件,has,显存位宽
歌曲,has,ISBN
角色,has,种族
主板,has,显示芯片
休闲游戏,has,开发公司
数码相机,has,取景器类型
饮品,has,主要食材
乐队,has,贝司
手机,has,机身内存
摄像机,has,感光器件
歌曲,has,古琴
播放器,has,音乐格式
摄像机,has,处理器
人物,has,妻子
物品,has,鼠标接口
动物品种,has,重庆特有种
主板,has,显存位宽
摄像机,has,传感器像素
主板,has,PCI插槽
机械轴承,has,厂商
电脑硬件,has,存储容量
文玩古董,has,材料
动作类小游戏,has,发行公司
电子电器产品,has,芯片组
策略游戏,has,时间
数码产品,has,机箱类型
动画片,has,首播电视台
街机游戏,has,游戏ROM
主板,has,USB接口
中央处理器,has,内存类型
宗教人物,has,职业
数码产品,has,主板总线
公职职级,has,民族
网页游戏,has,背景音乐
电子电器产品,has,显存容量
教练,has,职业
导航仪,has,处理器
碎纸机,has,碎纸箱容积
角色,has,班级
图书,has,出版公司
应用软件,has,研发单位
艺术创作专业人员,has,国籍
音频设备,has,传输接口
明星,has,职业
玩乐/收藏,has,ISBN
数码产品,has,扫描元件
歌曲,has,合唱
农作物,has,品种审定编号
冒险游戏,has,日期
人民政府部门,has,职员
网页游戏,has,画面
歌曲,has,生日
一体电脑,has,主板芯片
乐队,has,职业
数码产品,has,网络功能
影音设备,has,出版社
软体动物,has,主料
主板,has,插槽
摄像机,has,时尚超薄
图书,has,时代
角色扮演游戏,has,厂商
电子数码配件,has,ISBN
数码相机,has,生产厂家
汽车,has,车身型式
手机,has,出厂系统内核
人民政府,has,主任
CPU,has,SATA接口
飞行射击游戏,has,发行公司
汽车,has,驱动
厅局级领导,has,职业
显卡,has,流处理器
影音设备,has,视频输入
数码产品,has,材质
电脑主板,has,主板芯片组
初中学校,has,学生
电脑硬件,has,显示芯片型号
主食,has,配料
数码产品,has,刀头数量
菜品,has,生菜
手机游戏,has,支持终端
幼儿园,has,在园幼儿
歌曲,has,歌曲填词
诗歌,has,装帧
动作游戏,has,开发厂商
过关类小游戏,has,日期
日本漫画,has,装帧
数码产品,has,鼠标接口
野生动物,has,食物
杂粮粗粮,has,配料
音箱,has,声道系统
汽车,has,转向助力
政协领导,has,国籍
番茄类,has,品种类别
笔记本电脑,has,CPU插槽
歌曲,has,歌曲语言
手机软件,has,来自
模拟游戏,has,支持终端
数码产品,has,Uplink端口
文具,has,装帧
诗歌,has,时期
菜品,has,菜种
学校,has,教学班级
图书,has,民族族群
机械轴承,has,轴承品牌
漫画书,has,ISBN
中学校,has,教学班
玄幻小说,has,装帧
动作类小游戏,has,日期
工具书,has,开本
数码产品,has,有线网卡
区领导,has,国籍
手机,has,摄像头像素
摇滚乐队,has,国籍
插座,has,开关
游戏,has,职业
主食,has,调味料
武器,has,子弹
角色,has,孙子
数码相机,has,感光元件
电子电器产品,has,最佳观看距离
刊物,has,开本
国家机关,has,登记管理机关
动漫作品,has,开发商
国家机关,has,专业技术人员
管理软件,has,来自
图书,has,出版策划
战略游戏,has,开发商
游戏,has,支持分辨率
歌曲,has,专辑
益智游戏,has,发行公司
录像机,has,音频输出
动漫作品,has,出品公司
轻小说,has,出版社
面条,has,主料
职业,has,民族
游戏,has,软件厂商
长篇小说,has,开本
打印机,has,内存标配
歌曲,has,录音
品牌轴承,has,轴承型号
摄影摄像,has,存储扩展
菜品,has,香菜
物品,has,开本
汤,has,主要食材
保洁用品,has,材料
音乐团体,has,唱片公司
农作物,has,品种类型
少儿音乐,has,歌曲语言
策略游戏,has,背景音乐
数码产品,has,触摸屏
数码产品,has,笔记本类型
菜品,has,配菜
电子电器产品,has,开关
休闲益智游戏,has,开发商
CPU,has,内存类型
学校,has,分校
音乐播放器,has,存储介质
电脑,has,鼠标
处长,has,民族
角色扮演游戏,has,角色
导航设备,has,内存
数码产品,has,芯片厂商
模拟游戏,has,开发厂商
初中学校,has,在校学生
图书,has,书前冠
摄像机,has,取景器
笔记本电脑,has,背光技术
动画,has,首播电视台
Vocaloid歌曲,has,歌曲语言
格斗游戏,has,时间
武侠小说,has,装帧
路由器,has,内存
数码相机,has,图像感应器
电子电器产品,has,主芯片组
年代电视剧,has,出品公司
策略游戏,has,画面
物品,has,护甲
古籍,has,时代
武器,has,角色
笔记本电脑,has,台式机类型
运动员,has,母亲
图书,has,编委会
图册,has,出版社
电脑,has,摄像头
图书,has,卷册盘
电脑,has,笔记本处理器
月刊,has,ISBN
中餐地方菜,has,食材
小程序,has,时间
电脑,has,CPU描述
手机,has,材质
陶瓷制品,has,材料
政府,has,主管
笔记本电脑,has,附带软件
电脑,has,台式机类
家常菜,has,材料
数码产品,has,音乐格式
鱼类,has,主料
数码产品,has,蓝牙传输
休闲游戏,has,开发商
电子电器产品,has,核心架构
射击游戏,has,屏幕
小游戏,has,开发商
文学书籍,has,装帧
小游戏,has,出品公司
处理器,has,二级缓存
教育书籍,has,开本
电子电器产品,has,机箱结构
根茎类,has,主料
游戏,has,运营公司
乐团,has,职业
数码产品,has,感光器件
公办高校,has,院系设置
戏曲,has,职业
柜类,has,配件类型
电脑主板,has,音频芯片
存储设备,has,存储容量
导航仪,has,内置内存
剧情电影,has,发行公司
根茎类,has,佐料
造型师,has,职业
电脑,has,标准内存
博物馆,has,材料
笔记本电脑,has,显存位宽
玩乐/收藏,has,装帧
益智游戏,has,日期
电子电器产品,has,视频接口
电脑,has,CPU型
农作物,has,研发机构
电脑配件,has,显卡类型
数码产品,has,风嘴形式
服务机构,has,主席
数据线,has,转换器
笔记本电脑,has,USB接口
鱼类,has,所用厨具
数码产品,has,网络连接
中学校,has,主要院系
民歌,has,歌曲语言
益智游戏,has,开始游戏
机械轴承,has,Oil(油润滑)
鼠标,has,生产厂商
数码产品,has,屏幕
数码产品,has,CPU核心
数码产品,has,显示芯片系列
打印机,has,打印喷头
电子电器产品,has,输出接口
音箱,has,播放功能
数码产品,has,变焦方式
协会,has,主席
音乐播放器,has,FM收音功能
诗歌,has,歌曲原唱
影音电器,has,最佳观看距离
传统滋补营养品,has,材料
戏曲,has,经典剧目
原创小说,has,出版社
实验器材,has,主机尺寸
冒险游戏,has,厂商
图画书,has,出版社
音乐,has,开本
游戏,has,背景音乐
人物,has,宠物
农作物,has,茎粗
影音设备,has,音频输出
学院,has,建设院校
数码产品,has,图形处理器
手机,has,CPU
相机镜头,has,镜头卡口
戏曲,has,行当
动作游戏,has,安卓游戏授权
数码产品,has,产品机型
影音设备,has,发行公司
手机游戏,has,开发商
数码产品,has,音频接口
动漫作品,has,发行公司
笔记本电脑,has,面板
战略游戏,has,发行公司
工具软件,has,来自
固态硬盘,has,存储容量
运动员,has,儿子
主板,has,芯片组厂商
街机游戏,has,开发商
调料菜,has,配料
智能手机,has,触摸屏
数码产品,has,屏幕尺
面粉类,has,材料
豆科菜,has,食材
游戏,has,画面
菜品,has,牛肉
笔记本电脑,has,硬盘
电脑配件,has,电源版本
数码产品,has,生产厂商
杂粮粗粮,has,主要食材
叶菜类,has,品种类别
手机,has,主摄像头
政府官员,has,国籍
笔记本电脑,has,显示核心
电子电器产品,has,投影机特性
燃气灶,has,点火方式
播放机,has,输入端口
处理器,has,CPU架构
手机,has,音乐格式
格斗游戏,has,背景音乐
休闲益智游戏,has,发行公司
路由器,has,网络接口
化工产品,has,材料
日韩漫画,has,作画
根茎类,has,品种类型
益智类小游戏,has,发行公司
学院,has,国家
悬疑小说,has,ISBN
建筑材料,has,材质
笔记本电脑,has,配置
敏捷类小游戏,has,开发商
文玩古董,has,文物原属
显卡,has,显卡核心
经济书籍,has,ISBN
射击类小游戏,has,开发商
数码产品,has,芯片
图书,has,时间
个人电脑,has,处理器
协会,has,会刊
电脑,has,显示性能
鱼类,has,配料
古诗,has,年代
学校,has,建校
运动员,has,球队
机械轴承,has,轴承外径
歌曲,has,年代
古诗词,has,诗名
医疗设备,has,生产公司
南北干货,has,材料
儿童书籍,has,ISBN
手机,has,网络连接
外国歌曲,has,歌曲
少女漫画,has,连载杂志
智能手机,has,处理器
休闲游戏,has,发行公司
小游戏,has,发行公司
肉禽蛋类,has,主料
特菜野菜,has,配料
显卡,has,显存类型
中央处理器,has,CPU系列
国家机关,has,主管
消除类游戏,has,画面
藻类植物,has,重庆特有种
电脑,has,CPU频率
肉禽蛋类,has,佐料
显卡,has,内存类型
冒险游戏,has,角色
导航设备,has,存储扩展
歌曲,has,国籍
鱼类,has,调味料
电脑硬件,has,主板芯片组
短篇小说,has,出版社
公司,has,合作公司
电脑,has,触控
笔记本电脑,has,标配内存
燃气灶,has,面板
音乐团体,has,职业
数码产品,has,取景器
数码产品,has,光圈
文玩古董,has,出版社
摄像机,has,存储介质
电影电视制作及舞台专业人员,has,民族
花卉植物,has,变种
图书,has,CPU
人物,has,祖父
飞行射击游戏,has,厂商
泰国电视剧,has,电视台
家用电脑,has,CPU型号
玩乐/收藏,has,年代
影音电器,has,感光元件
政府,has,国家
电子电器产品,has,CPU插槽
投影仪,has,投影机类型
电脑,has,处理器平台
物品,has,种族
音频设备,has,存储容量
电子电器产品,has,散热方式
戏曲,has,出演剧团
年代电影,has,出品公司
图书,has,治疗单位
游戏,has,制作厂商
休闲益智游戏,has,日期
笔记本电脑,has,系统内存
面食,has,食材
电脑硬件,has,IDE接口
电子数码配件,has,输出接口
地球区域,has,河长
厨房电器,has,生产厂家
特色小吃,has,工具
手机,has,显卡
手机,has,静音码
导航设备,has,语音导航
人民政府部门,has,员工
学者,has,职业
文玩古董,has,材质类别
平板电脑/MID,has,3D图形加速
艺术创作专业人员,has,民族族群
街机游戏,has,发行公司
古风歌曲,has,作词
影音电器,has,投影机特性
主打歌曲,has,歌曲原唱
数码产品,has,配件类别
电脑配件,has,显存类型
文具,has,墨水容量
3C数码,has,CPU型号
电脑硬件,has,RAMDAC频率
益智游戏,has,厂商
电脑配件,has,内存类型
葡萄酒,has,出品公司
瓜类,has,品种类型
休闲游戏,has,日期
应用软件,has,支持终端
小游戏,has,日期
物品,has,面料
少儿音乐,has,歌曲
插座,has,弱电
面粉类,has,表面装饰
学院,has,院系设置
蘑菇,has,配料
解谜游戏,has,开发商
食物,has,调味品
摄像机,has,显示尺寸
调料菜,has,品种类别
数码产品,has,适配电源
U盘,has,存储介质
小游戏,has,开始游戏
战争类小游戏,has,日期
影视从业人员,has,民族
机箱,has,前置接口
菜品,has,芹菜
3C数码,has,内存类型
敏捷类小游戏,has,发行公司
一体机,has,CPU频率
电子电器产品,has,台式机类型
Vocaloid歌曲,has,歌曲
射击类小游戏,has,发行公司
粥,has,主料
纪录片,has,电影分级
数码产品,has,机箱材质
军队,has,民族
电子电器产品,has,转换器
乐器,has,材质
图书,has,装帧项
手机,has,号码存储
人物,has,家族
物品,has,二级缓存
装扮类小游戏,has,开发商
足球俱乐部,has,主席
歌曲,has,弦乐编写
工具书,has,ISBN
数码产品,has,生产商
音乐作品,has,出版社
人民政府部门,has,管理部门
人物,has,父亲
CPU,has,CPU系列
主打歌曲,has,歌曲
陶瓷制品,has,文物原属
单机游戏,has,开发商
解谜类小游戏,has,开发商
角色扮演游戏,has,屏幕
作品与出版物,has,出版社
图书馆,has,ISBN
电子电器产品,has,显示芯片
设计师,has,国籍
影视歌曲,has,歌曲语言
图书,has,插图
牌类游戏,has,游戏
批发商,has,登记机关
数码产品,has,防火墙
爱情歌曲,has,歌曲语言
流行歌曲,has,歌曲语言
数码相机,has,快门
手表,has,电池
歌曲,has,歌曲流派
诗词,has,年代
面粉类,has,酵母
主板,has,支持CPU数量
泰国电视剧,has,出品公司
长篇小说,has,ISBN
公司,has,ISBN
组织机构,has,登记管理机关
平板电脑/MID,has,扫描元件
电子电器产品,has,显存位宽
相机镜头,has,驱动马达
主打歌曲,has,发行公司
电脑,has,机箱类型
处理器,has,主芯片组
图书,has,绘画
儿童书籍,has,装帧
鱼类,has,主要食材
电脑主板,has,网卡芯片
摄像头,has,传输接口
显卡,has,芯片组描述
电子电器产品,has,USB接口
日期,has,相关事件
机械轴承,has,轴承
面食,has,主要材料
电脑硬件,has,电源插口
乐曲,has,歌曲原唱
游戏服务,has,护甲
手机,has,游戏
完全小学,has,学生
存储设备,has,内置硬盘接口
陶艺师,has,民族
初级中等学校,has,学生
文具,has,摄像头
歌曲,has,词/曲
存储设备,has,单机磁盘
电影,has,ISBN
图书,has,图书公司
绘画作品,has,材质
笔记本电脑,has,面板类型
扫描仪,has,扫描元件
手机,has,GPS功能
角色,has,儿子
年代电影,has,发行公司
人物,has,头发
特菜野菜,has,主要食材
投影机,has,投影机类型
男子足球队,has,主席
汽车,has,车厢结构
作品与出版物,has,民族
电脑,has,总线类型
塔防游戏,has,设备
显卡,has,显存
数码产品,has,二级缓存
射击类小游戏,has,日期
司法人员,has,职业
电子电器产品,has,面板
角色扮演游戏,has,显卡
数码相机,has,显示屏类型
作品与出版物,has,出品公司
物品,has,生日
家常菜,has,所用厨具
昆虫,has,寄主植物
摄像机,has,夜摄功能
个人电脑,has,CPU系列
组织机构,has,主管机关
古诗词,has,生卒
昆虫,has,亚种
影视作品,has,电视台
服务器,has,CPU核心
人物,has,师弟
电脑,has,酷睿
体育竞技游戏,has,内存
电子电器产品,has,主屏尺寸
公办高校,has,校歌
图书,has,封面题签
笔记本电脑,has,SATA接口
射击游戏,has,支持终端
虚拟网游小说,has,ISBN
电脑主板,has,主板总线
数码产品,has,显卡芯片
文玩古董,has,发行公司
策略游戏,has,开发公司
事业单位,has,专业技术人员
